word,id,code,importance,group
to,493,0,0,2
the,494,0,0,2
life-cycle,495,1,1,2
of,496,0,0,2
a,497,0,0,2
policy,498,1,1,2
initiative,499,1,1,2
and,500,0,0,2
to,501,0,0,2
the,502,0,0,2
calculus,503,1,1,2
that,504,0,0,2
undergirds,505,1,1,2
policy-making,506,1,1,2
Reprise,507,4,4,2
Magazine,508,4,4,2
(formerly,509,0,0,2
The,510,0,0,2
Florida,511,0,0,2
Basement),512,0,0,2
Editor-in-Chief,513,4,4,2
2016,514,0,0,2
-,515,0,0,2
2018,516,0,0,2
"Gainesville,",517,0,0,2
Fla.,518,0,0,2
Fully,519,2,2,2
redesigned,520,3,3,2
&,521,0,0,2
rebranded,522,3,3,2
student,523,2,2,2
blog,524,4,4,2
into,525,2,2,2
longform,526,4,4,2
magazine,527,4,4,2
with,528,2,2,2
beat,529,4,4,2
reporter,530,4,4,2
&,531,0,0,2
editor,532,4,4,2
positions,533,2,2,2
PROJECTS,534,0,0,3
Departure,535,2,14,3
&,536,2,14,3
Dissolution,537,2,14,3
Columbia,538,2,4,3
"University,",539,2,4,3
Oct.,540,0,0,3
2018,541,0,0,3
Used,542,5,14,3
d3.js,543,5,14,3
to,544,0,0,3
map,545,5,14,3
voter,546,5,14,3
movement,547,5,14,3
out,548,5,14,3
of,549,0,0,3
Crown,550,5,14,3
Heights,551,5,14,3
as,552,0,0,3
a,553,0,0,3
proxy,554,5,14,3
for,555,0,0,3
where,556,4,14,3
residents,557,4,14,3
go,558,4,14,3
when,559,4,14,3
displaced.,560,4,14,3
Reported,561,4,14,3
"4,000",562,4,14,3
word,563,4,14,3
story,564,4,14,3
on,565,0,0,3
how,566,4,14,3
that,567,4,14,3
displacement,568,4,14,3
is,569,4,14,3
fracturing,570,4,14,3
NYC’s,571,4,14,3
largest,572,4,14,3
Caribbean,573,4,14,3
community,574,4,14,3
Coded,575,5,14,3
mobile-responsive,576,5,14,3
site:,577,5,14,3
brooklynink.github.io/crownheights,578,5,14,3
Expect,579,0,0,3
to,580,0,0,3
See,581,0,0,3
White,582,0,0,3
"Personal,",583,0,0,3
April,584,0,0,3
2018,585,0,0,3
Used,586,5,15,3
Python,587,5,15,3
to,588,0,0,3
backtrack,589,5,15,3
Pudding.cool,590,5,15,3
film,591,5,15,3
character,592,5,15,3
"dataset,",593,5,15,3
scrape,594,5,15,3
IMDB,595,5,15,3
profile,596,5,15,3
"images,",597,5,15,3
and,598,0,0,3
run,599,5,15,3
them,600,5,15,3
through,601,5,15,3
facial,602,5,15,3
recognition,603,5,15,3
software,604,5,15,3
to,605,0,0,3
retrieve,606,5,0,3
race.,607,5,15,3
Used,608,5,15,3
d3,609,5,15,3
to,610,0,0,3
code,611,5,15,3
scroll-responsive,612,5,15,3
visualization:,613,5,15,3
champebarton.github.io,614,5,15,3
Senate,615,0,0,3
Judiciary,616,0,0,3
Interruptions,617,0,0,3
Columbia,618,0,0,3
"University,",619,0,0,3
Oct.,620,0,0,3
2018,621,0,0,3
Used,622,5,6,3
Selenium,623,5,6,3
to,624,0,0,3
scrape,625,5,6,3
transcripts,626,5,6,3
of,627,0,0,3
Senate,628,5,6,3
Judiciary,629,5,6,3
Committee,630,5,6,3
hearings,631,5,6,3
from,632,5,6,3
committee,633,5,6,3
website,634,5,6,3
and,635,0,0,3
track,636,5,6,3
interruptions,637,5,6,3
within.,638,5,6,3
Used,639,5,6,3
Excel,640,5,6,3
to,641,0,0,3
analyze,642,5,6,3
list,643,5,6,3
of,644,0,0,3
interruptions,645,5,6,3
by,646,0,0,3
senators,647,5,6,3
across,648,5,6,3
gender,649,5,6,3
and,650,0,0,3
race:,651,5,6,3
https://bit.ly/2zAcwyY,652,5,6,3
technical ,653,0,0,4
skills,654,0,0,4
design,655,3,0,4
Illustrator,656,3,12,4
InDesign,657,3,5,4
Photoshop,658,3,7,4
competent,659,5,0,4
Audition,660,4,4,4
C++,661,5,4,4
HTML,662,5,8,4
css,663,5,8,4
kotlin,664,5,7,4
experienced ,665,5,0,4
python,666,5,10,4
selenium,667,5,9,4
bs4,668,5,11,4
r,669,5,7,4
javascript,670,5,12,4
d3,671,5,14,4
Unity,672,5,6,4
QGIS,673,5,8,4
Quadrigram,674,5,4,4
ArcGIS,675,5,8,4
tableau,676,5,4,4
sql,677,5,9,4
